-14, -11, -6, 5, 14, 18.5, 21, 19, 11, 4, -4, -10, 
-15, -11.5, -5.5, 6.5, 10.5, 20.5, 22, 16.5, 14, 5, -6, -11, 
-15, -11, -6, 4, 11, 18.5, 21, 20, 11, 5, -3.5, -12, 
-14, -12, -7, 3, 13, 18.5, 22, 20, 12.5, 5, -3, -10, 
-14.5, -12.5, -4, 4, 11, 19, 21, 17, 12, 5, -4, -11, 
-15, -13, -5, 6, 13, 19, 20, 18, 12, 5, -4, -12, 
-13, -11, -6, 5.5, 12.5, 20, 22, 18.5, 13, 5, -4.5, -10, 
-15.5, -13, -7, 6, 13.5, 18.5, 22, 17, 14, 5, -6, -11, 
-14, -13.5, -5.5, 6, 11, 20, 22.5, 20, 13, 5, -3, -12, 
-14, -11, -6, 5, 14, 18.5, 20, 19, 11, 4, -4, -10, 
-13, -13, -5, 4, 13, 20, 20, 19, 13.5, 5, -5, -11, 
-13, -13, -4.5, 5, 12, 19, 21, 19, 11, 4, -4.5, -12, 
-14, -14, -4.5, 5, 12, 19, 23, 19.5, 12, 6, -6, -10, 
-16.5, -13, -6, 5, 13, 18.5, 20.5, 17, 11, 4.5, -4, -11, 
-14, -14.5, -6, 0, 12, 20, 21, 20, 12, 0, -5, -12, 
-14, -13.5, -5.5, 6, 11, 20, 22.5, 20, 13, 5, -3, -12, 
-13, -11, -5, 6, 11.5, 19.5, 22, 17.5, 13, 5.5, -7, -10, 
